Submission Date,Genere,Età,Ascolterò gli audio da,gt-6,male1-6,vits-6,vits-5,female1-5,male1-5,gt-1,female1-4,gt-2,gt-5,gt-3,vits-4,male1-2,male1-4,female1-3,gt-4,male1-3,vits-3,vits-2,female1-6,vits-1,female1-2,male1-1,female1-1,Submission ID
2022-11-22 15:33:21,Uomo,25-44,dispositivo mobile (cellulare/tablet),3,3,3,4,4,3,5,3,3,4,4,2,5,5,2,4,4,2,2,3,2,4,3,4,5449368010918427253
2022-11-22 15:36:09,Uomo,25-44,casse del PC,3,3,2,3,1,2,4,3,5,5,4,3,4,4,2,3,3,1,3,1,4,2,3,2,5449369697718797569
2022-11-22 15:39:47,Donna,25-44,dispositivo mobile (cellulare/tablet),3,5,1,2,2,4,5,2,5,4,5,2,4,5,1,4,4,1,4,2,4,2,3,2,5449371870733443212
2022-11-22 16:57:12,Uomo,25-44,dispositivo mobile (cellulare/tablet),4,4,2,3,3,3,4,3,3,4,4,4,4,4,3,4,4,2,3,3,4,3,3,3,5449418320312653810
2022-11-22 17:26:50,Uomo,18-24,dispositivo mobile (cellulare/tablet),4,4,2,2,2,5,5,3,5,4,4,1,3,4,3,3,3,2,1,3,2,2,4,2,5449436107021217026
2022-11-22 17:54:11,Donna,45-64,dispositivo mobile (cellulare/tablet),4,4,4,4,3,3,4,3,4,4,4,3,4,4,3,4,4,3,3,3,5,2,5,4,5449452519985693240
2022-11-22 19:26:08,Uomo,18-24,casse del PC,4,3,1,4,3,3,5,3,5,5,5,1,5,5,2,5,4,1,3,1,4,1,5,2,5449507678213895441
2022-11-22 20:35:33,Uomo,25-44,dispositivo mobile (cellulare/tablet),4,5,3,4,5,4,4,5,4,4,3,4,4,4,5,4,3,4,4,5,4,5,4,5,5449549337227049659
2022-11-22 22:04:40,Uomo,25-44,dispositivo mobile (cellulare/tablet),3,4,2,3,2,3,4,3,5,4,5,2,3,3,2,3,1,1,2,2,3,2,2,3,5449602805323570931
2022-11-22 22:36:32,Uomo,18-24,dispositivo mobile (cellulare/tablet),4,2,3,1,1,4,4,2,5,2,5,1,3,4,1,5,5,1,3,1,3,1,4,1,5449621923734928552
2022-11-23 06:41:15,Uomo,25-44,dispositivo mobile (cellulare/tablet),5,5,3,3,1,5,5,2,5,5,5,1,5,5,1,5,5,1,4,1,4,5,4,4,5449912756516477703
2022-11-23 12:09:21,Uomo,45-64,dispositivo mobile (cellulare/tablet),5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,4,4,2,5,5,4,5,5,5450109613213958932
